Title,Authors,Language,Categories,Average Rating,Maturity Rating,Publisher,Published Date,Page Count,Edition type,Translated,Top Selling
Take Control of Your Life: How to Silence Fear and Win the Mental Game,Mel Robbins,English,Business & Economics,3.0,Not mature,Greenwood P},2017,163,Audiobook,No,Europe
"Scion of Ikshvaku: Ram Chandra Series, Book 1",Amish,English,Students,2.0,Not mature,Routledge,1998,530,Audiobook,Yes ,Europe
Sita: Warrior of Mithila,Amish,English,Technologists,4.5,Not mature,Henry Holt ,2015,2416,Audiobook,No,Europe
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,English,Technologists,3.0,Not mature,Author House,2011,188,Audiobook,Yes ,Europe
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,English,Architecture,3.5,Not mature,Penguin,1991,1746,Audiobook,Yes ,Europe
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,English,History,2.5,Not mature,Penguin,1989,207,Audiobook,Yes ,Europe
A Suitable Boy (Dramatised),Vikram Seth,English,Geology,4.0,Not mature,Oxford University,2012,328,Audiobook,Yes ,Central America
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,English,English literature,4.5,Not mature,Salem Pr Inc,1983,645,Audiobook,No,North America
Make Time: How to focus on what matters every day,Jake Knapp,English,English literature,5.0,Not mature,BookCaps ,2011,546,Audiobook,Yes ,Latin America
The Other America - A Speech from The Radical King (Free),Dr. Martin Luther King Jr.,English,English literature,3.0,Not mature,Penguin,2010,46,Audiobook,Yes ,Europe
The Ride of a Lifetime: Lessons in Creative Leadership from the CEO of the Walt Disney Company,Robert Iger,English,English literature,5.0,Not mature,Penguin,1996,704,Audiobook,Yes ,Europe
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,English,Juvenile Fiction,3.5,Not mature,Penguin,2009,96,Audiobook,Yes ,Europe
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,English,Juvenile Fiction,4.5,Not mature,Penguin,1986,865,Audiobook,Yes ,Europe
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,English,Juvenile Fiction,3.0,Not mature,Penguin,2009,66,Audiobook,No,Europe
The Big Store: Inside the Crisis and Revolution at Sears,Donald Katz,English,Juvenile Fiction,5.0,Not mature,Penguin,2014,240,Audiobook,Yes ,Europe
The Buddha and the Badass: The Secret Spiritual Art of Succeeding at Work,Vishen Lakhiani,English,Juvenile Fiction,2.0,Not mature,Penguin,2004,176,Audiobook,Yes ,Europe
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,English,Juvenile Fiction,3.0,Not mature,Penguin,2016,320,Audiobook,No ,Europe
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,English,Juvenile Fiction,1.0,Not mature,Yearling,2016,304,Audiobook,Yes,Europe
"Trading in the Zone: Master the Market with Confidence, Discipline, and a Winning Attitude",Mark Douglas,Varios,Juvenile Fiction,1.0,Not mature,Yearling,2016,320,Audiobook,No,Central America
Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,Varios,Juvenile Fiction,4.0,Not mature,Penguin,1981,22,Audiobook,No,North America
Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People],Stephen R. Covey,Varios,Education,1.0,Not mature,Penguin,1991,11,Audiobook,Yes ,Latin America
The Discomfort of Evening,Marieke Lucas Rijneveld,Árabe,Education,3.0,Not mature,Psychology Press,1915,383,Audiobook,Yes ,Europe
Learn English: Word Power 101: Absolute Beginner English #1,Innovative Language Learning,Español,Education,2.0,Not mature,Penguin,2010,275,Audiobook,No ,Europe
Range: How Generalists Triumph in a Specialized World,David Epstein,Español,Education,4.5,Not mature,Penguin,1997,103,Audiobook,Yes,North America
Man's Search for Meaning,Viktor E. Frankl,Español,Juvenile Fiction,3.0,Not mature,Oxford University,1909,436,Audiobook,No,Latin America
Everything Is F*cked: A Book About Hope,Mark Manson,Español,Medical,3.5,Not mature,IGI Global,2011,337,Audiobook,Yes,North America
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,English,Biography,2.5,Not mature,Oxford University,2021,313,Audiobook,No,Central America
The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,English,Business & Economics,4.0,Not mature,Oxford University,2006,45,Audiobook,Yes,North America
The Alchemist (Hindi Edition),Paulo Coelho,English,Business & Economics,4.5,Not mature,Oxford University,1989,286,Audiobook,No,Europe
The Girl on the Train,Paula Hawkins,English,Business & Economics,5.0,Not mature,Penguin,1865,271,Audiobook,Yes,North America
Wings of Fire,APJ Abdul Kalam,English,Computers,3.0,Not mature,Penguin,2006,353,Audiobook,Yes,Asia
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,English,Business & Economics,5.0,Not mature,Penguin,2011,304,Audiobook,Yes,North America
A Brief History of Time: From Big Bang to Black Holes,Stephen Hawking,English,Computers,3.0,Not mature,Bloomsbury Publishing,1989,80,Audiobook,No,Oceania
Sapiens,Yuval Noah Harari,English,Biography ,4.5,Not mature,Terrace Books,2016,227,Audiobook,Yes,North America
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,English,Biography ,3.0,Not mature,Yearling,1980,564,Audiobook,No,North America
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,English,History,5.0,Not mature,Open Court ,1961,985,Audiobook,Yes,Asia
"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,English,Biography & Autobiography,2.0,Not mature,Open Court ,2016,356,Audiobook,Yes,North America
1984,George Orwell,English,Psychology,3.0,Not mature,CRC Press,2016,425,Audiobook,Yes,Oceania
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,English,English literature,1.0,Not mature,CRC Press,2015,745,Audiobook,No,Oceania
Poirot's Finest Cases: Eight Full-Cast BBC Radio Dramatisations,Agatha Christie,English,Science,1.0,Not mature,CRC Press,2019,658,Audiobook,Yes,Latin America
The Girl in Room 105,Chetan Bhagat,English,Dentistry,3.5,Not mature,CRC Press,2016,115,Audiobook,No,Latin America
Godaan (Hindi Edition),Munshi Premchand,English,Geology,3.0,Not mature,CRC Press,1998,128,Audiobook,Yes,Latin America
"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,English,English literature,3.5,Not mature,CRC Press,2007,203,Audiobook,Yes,Central America
Eat That Frog!,Brian Tracy,English,Mathematical ,4.0,Not mature,Carolina Press,2012,315,Audiobook,Yes ,North America
Zen: The Art of Simple Living,Shunmyo Masuno,English,Business & Economics,3.5,Matute,Oxford University,2010,288,Audiobook,Yes ,Latin America
Anxious People,Fredrik Backman,English,Computers,2.0,Not mature,Münster,2012,240,Audiobook,Yes ,North America
Outliers: The Story of Success,Malcolm Gladwell,English,Business & Economics,3.5,Not mature,BookCaps ,2010,400,Audiobook,Yes ,North America
Market Wizards: Interviews with Top Traders,Jack D. Schwager,Varios,Biography,4.0,Not mature,SAGE,1980,296,Audiobook,Yes ,Latin America
365 Panchatantra Stories,Adil Mukesh,Varios,Mineral industries,3.5,Not mature,SAGE,2002,219,Audiobook,Yes ,Asia
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Varios,Business & Economics,3.5,Not mature,SAGE,2009,704,Audiobook,Yes ,Latin America
365 Tales of Indian Mythology,Om Books International,Árabe,Students,3.5,Not mature,SAGE,1987,362,Audiobook,Yes ,North America
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,Español,Technologists,4.0,Not mature,SAGE,1987,400,Audiobook,Yes ,Latin America
Yuval Noah Harari: Audible Sessions: FREE Exclusive Interview,Robin Morgan,Español,Technologists,4.0,Not mature,Cengage Learning ,1987,374,Audiobook,Yes ,Latin America
The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,Español,Architecture,1.0,Not mature,SIAM,1988,406,Audiobook,Yes ,Latin America
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,Español,History,3.0,Not mature,SIAM,1988,356,Audiobook,Yes ,Asia
The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,English,Geology,2.0,,CRC Press,1987,623,Audiobook,No,Latin America
Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,English,English literature,4.5,,John Wiley & Sons,1992,687,Audiobook,Yes ,Latin America
Hooked: How to Build Habit-Forming Products,Nir Eyal,English,English literature,3.0,,John Wiley & Sons,1989,745,Audiobook,Yes ,Asia
Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,English,English literature,3.5,,John Wiley & Sons,2000,365,Audiobook,Yes ,Latin America
The Law of Success,Napoleon Hill,English,Juvenile Fiction,2.5,,Springer,1992,254,Audiobook,No,Latin America
48 Laws of Power,Robert Greene,English,Medical,4.0,,Springer,2012,256,Audiobook,Yes ,Asia
Alibaba: The House That Jack Ma Built,Duncan Clark,English,Biography,4.5,,Springer,1898,354,Audiobook,No,Latin America
The Compound Effect: Multiply Your Success One Simple Step at a Time,Darren Hardy,English,Business & Economics,5.0,,Springer,2013,644,Audiobook,Yes ,Latin America
Asura: Tale of the Vanquished: The Story of Ravana and His People,Anand Neelakantan,English,Juvenile Fiction,3.0,Not mature,Springer,2014,271,Audiobook,Yes ,Asia
Do Kadam Aur Sahi [Two Steps and Right],Rahat Indori,English,Juvenile Fiction,5.0,Not mature,Courier Corporation,1981,32,Audiobook,Yes ,Latin America
The Forty Rules of Love,Elif Shafak,English,Computers,3.5,Not mature,Courier Corporation,1913,156,Audiobook,Yes ,Central America
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,English,Business & Economics,4.5,Not mature,Courier Corporation,1989,307,Audiobook,No,Europe
Satya Ke Sath Mere Prayog [My Experiment with Truth]: Meri Atmakatha [My Autobiography],M. K. Gandhi,English,Computers,3.0,Not mature,Penguin,2009,350,Audiobook,Yes ,Central America
Peppa Pig: Bedtime Stories,Ladybird,English,Biography ,5.0,Not mature,Penguin,1983,657,Audiobook,Yes ,North America
A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,English,Biography ,2.0,Not mature,Aspen Publishers ,1865,780,Audiobook,Yes ,Latin America
The Mahabharata Secret,Christopher C. Doyle,English,History,3.0,Not mature,DIA Publishing,2016,874,Audiobook,Yes ,Europe
"Girl, Woman, Other",Bernardine Evaristo,English,Biography & Autobiography,1.0,Not mature,Wolters Kluwer ,2016,272,Audiobook,Yes ,Europe
Measure What Matters: OKRs: The Simple Idea That Drives 10x Growth,John Doerr,English,Psychology,1.0,Not mature,Penguin,2014,245,Audiobook,No,Europe
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,English,English literature,4.0,Not mature,Penguin,2016,523,Audiobook,Yes ,Central America
How to Stop Worrying and Start Living,Dale Carnegie,English,Science,1.0,Not mature,Academic Press,2010,1254,Audiobook,Yes ,North America
Maybe You Should Talk to Someone,Lori Gottlieb,English,Dentistry,3.0,Not mature,Cambridge University ,2016,523,Audiobook,No ,Latin America
Flow: Living at the Peak of Your Abilities,Mihaly Csikszentmihalyi Ph.D.,English,Geology,2.0,Not mature,Penguin,2004,785,Audiobook,Yes,Europe
Fire and Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R.R. Martin,English,English literature,4.5,Not mature,Penguin,2016,125,Audiobook,No,Europe
"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",Mel Robbins,English,Mathematical ,3.0,Not mature,Routledge,2010,160,Audiobook,No,Europe
What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,Joe Navarro,English,Business & Economics,3.5,Not mature,Holt Paperbacks,2011,654,Audiobook,Yes ,Europe
The Fountainhead,Ayn Rand,English,Computers,2.5,Not mature,Oxford University,2003,351,Audiobook,Yes ,Europe
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,English,Business & Economics,4.0,Not mature,Penguin,2001,158,Audiobook,No ,Europe
No-Drama Discipline: The Whole-Brain Way to Calm the Chaos and Nurture Your Child's Developing Mind,Daniel J. Siegel,English,Biography,4.5,Not mature,Penguin,1989,500,Audiobook,Yes,Europe
"Untamed: Stop Pleasing, Start Living",Glennon Doyle,English,Mineral industries,5.0,Not mature,Penguin,1989,694,Audiobook,No,Europe
When Breath Becomes Air,Paul Kalanithi,English,Business & Economics,3.0,Not mature,Penguin,1909,874,Audiobook,Yes ,Europe
Who Will Cry When You Die?,Robin Sharma,English,Students,5.0,Not mature,Penguin,2015,336,Audiobook,Yes ,Europe
Caste: The Lies That Divide Us,Isabel Wilkerson,English,Technologists,3.0,Not mature,Penguin,1995,304,Audiobook,Yes ,Europe
Kyon Se Shuruwat Karein [Start with Why]: Mahaan Leaders Logon Ko Aage Badhne Ke Liye Prerit Kaise Karte Hain [How Great Leaders Inspire People to Move Forward],Simon Sinek,English,Technologists,4.5,Not mature,Harper Collins,1991,133,Audiobook,Yes ,Europe
Lok Vyavhar,Dale Carnegie,English,Architecture,3.0,Not mature,Penguin,2016,303,Audiobook,Yes ,Europe
The Obesity Code: Unlocking the Secrets of Weight Loss,Jason Fung,English,History,5.0,Not mature,Penguin,1995,451,Audiobook,Yes ,Europe
The Selfish Gene,Richard Dawkins,English,Geology,2.0,Not mature,Hachette UK,1997,425,Audiobook,Yes ,Europe
A Short History of Nearly Everything,William Roberts,English,English literature,3.0,Not mature,Penguin,1931,288,Audiobook,Yes ,Europe
The Art of War,Sun Tzu,English,English literature,1.0,Not mature,Scarecrow Press,2016,528,Audiobook,Yes ,Europe
Badi Soch Ka Bada Jadu [The Magic of Thinking Big],David Schwartz,English,English literature,1.0,Mature,Ballantine Books,1998,447,Audiobook,Yes ,Europe
The Great Indian Novel,Shashi Tharoor,English,English literature,3.5,Not mature,Greenwood P},1986,481,Audiobook,Yes ,Europe
The Great Gatsby,F. Scott Fitzgerald,English,Juvenile Fiction,3.0,Not mature,Routledge,1996,310,Audiobook,Yes ,Europe
Cosmos,Carl Sagan,English,Juvenile Fiction,3.5,Not mature,Henry Holt ,1991,224,Audiobook,No,Europe
Origin,Dan Brown,English,Juvenile Fiction,4.0,Not mature,Author House,2012,139,Audiobook,Yes ,Europe
Tiny Habits: The Small Changes That Change Everything,BJ Fogg,English,Juvenile Fiction,3.5,Not mature,Penguin,1915,139,Audiobook,Yes ,Central America
Essence of the Upanishads: A Key to Indian Spirituality,Eknath Easwaran,English,Juvenile Fiction,2.0,Not mature,Penguin,1968,2296,Audiobook,Yes ,North America
Rich Dad's Guide to Investing: What the Rich Invest In That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,English,Juvenile Fiction,3.5,Not mature,Oxford University,2019,45,Audiobook,No,Latin America
Marketing 4.0: Moving from Traditional to Digital,Philip Kotler,English,Juvenile Fiction,4.0,Not mature,Salem Pr Inc,1961,476,Audiobook,Yes ,Europe
No Excuses!: The Power of Self-Discipline for Success in Your Life,Brian Tracy,English,Juvenile Fiction,3.5,Not mature,BookCaps ,2006,476,Audiobook,No,Europe
H.G. Wells: The Science Fiction Collection,H. G. Wells,English,Juvenile Fiction,3.5,Not mature,Penguin,2010,23,Audiobook,Yes ,Europe
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoglu,English,Computers,3.5,Not mature,Penguin,2011,15,Audiobook,Yes ,Europe
Land of Seven Rivers,Sanjeev Sanyal,English,Juvenile Fiction,4.0,Not mature,Penguin,2012,323,Audiobook,Yes ,Europe
Rebecca,Daphne Du Maurier,English,Juvenile Fiction,4.0,Not mature,Penguin,2006,500,Audiobook,Yes ,Europe
Apprenticed to a Himalayan Master: A Yogi's Autobiography,Sri M.,English,Psychology,1.0,Not mature,Penguin,2009,528,Audiobook,No,Europe
Eleanor Oliphant Is Completely Fine,Gail Honeyman,English,Medical,3.0,Not mature,Penguin,2017,394,Audiobook,Yes ,Europe
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,E. L. James,English,Psychology,2.0,Not mature,Penguin,2011,594,Audiobook,Yes ,Europe
Chinta Chhodo Sukh Se Jiyo,Dale Carnegie,English,Medical,4.5,Not mature,Penguin,2016,586,Audiobook,Yes ,Central America
How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,English,Psychology,3.0,Not mature,Yearling,2006,2664,Audiobook,Yes ,North America
How to Be a Bawse: A Guide to Conquering Life,Lilly Singh,English,Medical,3.5,Not mature,Yearling,2010,832,Audiobook,Yes ,Latin America
20 Bedtime Stories For Kids,div.,English,Fiction,2.5,Not mature,Penguin,1997,832,Audiobook,No,Europe
The Best of Akbar - Birbal: Immortal tales of wit and wisdom,Om Books International,English,Science,4.0,Not mature,Penguin,1995,564,Audiobook,Yes ,Europe
The Arts of Seduction,Seema Anand,English,Juvenile Fiction,4.5,Not mature,Psychology Press,2016,597,Audiobook,Yes ,North America
Das Think Like a Monk-Prinzip: Finde innere Ruhe und Kraft für ein erfülltes und sinnvolles Leben,Jay Shetty,English,Medical,5.0,Not mature,Penguin,2012,940,Audiobook,No ,Latin America
1962: The War That Wasn't: The Definitive Account of the Clash Between India and China,Shiv Kunal Verma,English,Biography,3.0,Not mature,Penguin,2003,584,Audiobook,Yes,North America
The Personal MBA: Master the Art of Business,Josh Kaufman,English,Business & Economics,5.0,Not mature,Oxford University,1988,356,Audiobook,No,Central America
The Monk Who Sold His Ferrari (Hindi): A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin Sharma,English,Business & Economics,3.5,Not mature,IGI Global,2010,304,Audiobook,No,North America
"The Magic Unicorn: Bedtime Stories for Kids: Short Funny, Fantasy Stories for Children and Toddlers to Help Them Fall Asleep and Relax. Fantastic Stories to Dream about for All Ages. Easy to Read.",Sarah Doll,English,Business & Economics,4.5,Not mature,Oxford University,2001,536,Audiobook,Yes ,Europe
The Da Vinci Code,Dan Brown,English,Computers,3.0,Not mature,Oxford University,1968,208,Audiobook,Yes ,North America
F*cking History: 111 Lessons You Should Have Learned in School,The Captain,English,Business & Economics,5.0,Not mature,Oxford University,2022,26,Audiobook,No ,Asia
Great Stories for Children,Ruskin Bond,English,Computers,2.0,Not mature,Penguin,1983,252,Audiobook,Yes,North America
Breath: The New Science of a Lost Art,James Nestor,English,Biography ,3.0,Not mature,Penguin,1931,226,Audiobook,No,Oceania
Harvard Business Review Manager's Handbook: The 17 Skills Leaders Need to Stand Out,Harvard Business Review,English,Biography ,1.0,Not mature,Penguin,1995,504,Audiobook,Yes ,North America
The Hospital: The FREE Short Story: The First Mountain Man Story,Keith C. Blackmore,English,History,1.0,Not mature,Penguin,2006,200,Audiobook,Yes ,North America
Educated,Tara Westover,English,Biography & Autobiography,4.0,Not mature,Yearling,2017,736,Audiobook,Yes ,Asia
The Girl with a Plan: Love in Times of Tinder,Shanaya Taneja,English,Psychology,1.0,Not mature,Open Court ,1998,262,Audiobook,Yes ,North America
Jaya: A Retelling of the Mahabharata,Devdutt Pattanaik,English,English literature,3.0,Not mature,Open Court ,2015,528,Audiobook,Yes ,Oceania
The Order of Time: Narrated by Benedict Cumberbatch,Carlo Rovelli,English,Science,2.0,Not mature,CRC Press,2011,184,Audiobook,Yes ,Oceania
I Want Your Boyfriend: Love in Times of Tinder,Shanaya Taneja,English,Dentistry,4.5,Not mature,CRC Press,1991,240,Audiobook,Yes ,Latin America
The Goal: A Process of Ongoing Improvement - 30th Anniversary Edition,Eliyahu M. Goldratt,English,Geology,3.0,Not mature,CRC Press,1989,304,Audiobook,Yes ,Latin America
"Asura (Hindi Edition): Parajiton ki gatha, Ravana va uski praja ki kahani",Anand Neelkantan,English,English literature,3.5,Not mature,CRC Press,2012,175,Audiobook,Yes ,Latin America
"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness",Vex King,English,Mathematical ,2.5,Not mature,CRC Press,1983,365,Audiobook,Yes ,Central America
Why I Am an Atheist and Other Works,Bhagat Singh,English,Business & Economics,4.0,Not mature,CRC Press,2011,586,Audiobook,Yes ,North America
Time Management (Hindi Edition),Sudhir Dixit,English,Computers,4.5,Not mature,Carolina Press,2010,66,Audiobook,Yes ,Latin America
Diary of a Young Girl,Anne Frank,English,Business & Economics,5.0,Not mature,Oxford University,1996,304,Audiobook,No,North America
Learn English with Innovative Language's Proven Language System - Level 05: Advanced: Advanced English #2,Innovative Language Learning,English,Biography,3.0,Not mature,Münster,2009,448,Audiobook,Yes ,North America
I Will Teach You to Be Rich: No Guilt. No Excuses. No B.S. Just a 6-Week Program That Works (Second Edition),Ramit Sethi,English,Mineral industries,5.0,Not mature,BookCaps ,1986,448,Audiobook,Yes ,Latin America
Atlas Shrugged,Ayn Rand,English,Business & Economics,3.0,Not mature,SAGE,2009,800,Audiobook,Yes ,Asia
What Got You Here Won't Get You There: How Successful People Become Even More Successful,Marshall Goldsmith,English,Students,4.5,Not mature,SAGE,2014,384,Audiobook,No,Latin America
An Era of Darkness: The British Empire in India,Shashi Tharoor,English,Technologists,3.0,Not mature,SAGE,2004,160,Audiobook,Yes ,North America
The Journey Home,Radhanath Swami,English,Technologists,5.0,Not mature,SAGE,2016,400,Audiobook,No,Latin America
The ONE Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,English,Architecture,2.0,Not mature,SAGE,2016,426,Audiobook,Yes ,Latin America
"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win 5th Anniversary Edition",Gene Kim,English,History,3.0,Not mature,Cengage Learning ,2016,316,Audiobook,Yes ,Latin America
The Forest of Enchantments,Chitra Banerjee Divakaruni,English,Geology,1.0,Not mature,SIAM,1981,163,Audiobook,Yes ,Asia
The Complete Works of Swami Vivekananda: Volume 1,Swami Vivekananda,English,English literature,1.0,Not mature,SIAM,1991,530,Audiobook,Yes ,Latin America
7 Secrets of Shiva: The Hindu Trinity Series,Devdutt Pattanaik,English,English literature,3.5,Not mature,CRC Press,1915,2416,Audiobook,No,Latin America
"The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns, 10th Anniversary Edition",John C. Bogle,English,English literature,3.0,Not mature,John Wiley & Sons,2010,188,Audiobook,Yes ,Asia
Honor Yourself,Diddy,English,Juvenile Fiction,3.5,Not mature,John Wiley & Sons,1997,1746,Audiobook,Yes ,Latin America
The Mastery Manual (Hindi): A Life-Changing Guide for Personal and Professional Greatness,Robin Sharma,English,Medical,4.0,Not mature,John Wiley & Sons,1909,207,Audiobook,Yes ,Latin America
Lakshya [Goals],Brian Tracy,English,Biography,3.5,Not mature,Springer,2011,328,Audiobook,Yes ,Asia
Pride and Prejudice,Jane Austen,English,Business & Economics,2.0,Not mature,Springer,2021,645,Audiobook,Yes ,Latin America
"Guns, Germs and Steel: The Fate of Human Societies",Jared Diamond,English,Juvenile Fiction,3.5,Not mature,Springer,2006,546,Audiobook,No,Latin America
Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant,W. Chan Kim,English,Juvenile Fiction,4.0,Not mature,Springer,1989,46,Audiobook,Yes ,Asia
"How to Day Trade for a Living: A Beginner's Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology",Andrew Aziz,English,Computers,3.5,Not mature,Springer,1865,704,Audiobook,Yes ,Latin America
"Trading for a Living: Psychology, Trading Tactics, Money Management",Alexander Elder,English,Business & Economics,3.5,Not mature,Courier Corporation,2006,96,Audiobook,No ,Central America
"Explicit Erotic Sex Stories: Gangbangs, Threesomes, Anal Sex, MILFs, BDSM, Rough Forbidden Adult, Taboo Collection",Cassidy Johnson,English,Computers,3.5,Not mature,Courier Corporation,2011,865,Audiobook,Yes,Europe
Digital Minimalism: On Living Better with Less Technology,Cal Newport,English,Biography ,4.0,Not mature,Courier Corporation,1989,66,Audiobook,No,Central America
"You Can Heal Your Life (Unabridged, Adapted for Audio)",Louise L. Hay,English,Biography ,3.0,Not mature,Penguin,2016,240,Audiobook,No,North America
The Richest Man in Babylon,George S. Clason,English,History,3.0,Not mature,Penguin,1980,176,Audiobook,Yes ,Latin America
Super Thinking: Upgrade Your Reasoning and Make Better Decisions with Mental Models,Gabriel Weinberg,English,Biography & Autobiography,3.0,Not mature,Aspen Publishers ,1961,320,Audiobook,Yes ,Europe
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,English,Psychology,3.5,Not mature,DIA Publishing,2016,304,Audiobook,No ,Europe
A New Earth: Awakening Your Life's Purpose,Eckhart Tolle,English,English literature,4.0,Not mature,Wolters Kluwer ,2016,320,Audiobook,Yes,Europe
Will You Still Love Me?,Ravinder Singh,English,Science,1.0,Not mature,Penguin,2015,22,Audiobook,No,Central America
Nirmala (Hindi Edition),Munshi Premchand,English,Dentistry,3.0,Not mature,Penguin,2019,11,Audiobook,Yes,North America
Panchatantra,Pandit Vishnu Sharma,English,Geology,2.0,Not mature,Academic Press,2016,383,Audiobook,No,Latin America
The Lord of the Rings: The Fellowship of the Ring (Dramatised),J. R. R Tolkien,English,English literature,4.5,Not mature,Cambridge University ,1998,275,Audiobook,Yes,Europe
The Miracle of Mindfulness: The Classic Guide to Meditation by the World's Most Revered Master,Thich Nhat Hanh,English,Mathematical ,3.0,Not mature,Penguin,2007,103,Audiobook,No,Europe
Dark Matter,Blake Crouch,English,Business & Economics,3.5,Not mature,Penguin,2012,436,Audiobook,Yes,Europe
Rich Dad's Cashflow Quadrant: Guide to Financial Freedom,Robert T. Kiyosaki,English,Computers,2.5,Not mature,Routledge,2010,337,Audiobook,Yes,Europe
MBA Kiye Bina Seekhen Business Ke Hunar [Learn Business Skills Without Getting an MBA],Josh Kaufman,English,Business & Economics,4.0,Not mature,Holt Paperbacks,2012,313,Audiobook,Yes,Europe
Kundalini: An Untold Story,Om Swami,English,Biography,4.5,Not mature,Oxford University,2010,45,Audiobook,No,Europe
The Psychology of Selling: The Art of Closing Sales,Brian Tracy,English,Mineral industries,5.0,Not mature,Penguin,1980,286,Audiobook,Yes,Europe
Men Without Women,Haruki Murakami,English,Business & Economics,3.0,Not mature,Penguin,2002,271,Audiobook,No,Europe
Ashwathama,Ashutosh Garg,English,Students,5.0,Not mature,Penguin,2009,353,Audiobook,Yes,Europe
"Dont Lose Out, Work Out!",Rujuta Diwekar,English,Technologists,3.5,Not mature,Penguin,1987,304,Audiobook,Yes,Europe
"The Complete Guide to Fasting: Heal Your Body Through Intermittent, Alternate-Day, and Extended Fasting",Jimmy Moore,English,Technologists,4.5,Not mature,Penguin,1987,80,Audiobook,Yes,Europe
Animal Farm,George Orwell,English,Architecture,3.0,Not mature,Penguin,1987,227,Audiobook,No,Europe
Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,English,History,5.0,Not mature,Harper Collins,1988,564,Audiobook,Yes,Europe
Norse Mythology,Neil Gaiman,English,Geology,2.0,Not mature,Penguin,1988,985,Audiobook,No,Europe
"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,English,English literature,3.0,Not mature,Penguin,1987,356,Audiobook,Yes,Europe
Flirting with Stocks: Stock Market Investing for Beginners,Anil Lamba,English,English literature,1.0,Not mature,Hachette UK,1992,425,Audiobook,Yes,Europe
Midnights with The Mystic: A Little Guide to Freedom and Bliss,Cheryl Simone,English,English literature,1.0,Not mature,Penguin,1989,745,Audiobook,Yes ,Europe
The Thirteen Principal Upanishads,uncredited,English,English literature,4.0,Mature,Scarecrow Press,2000,658,Audiobook,Yes ,Europe
The Fault in Our Stars,John Green,English,Juvenile Fiction,1.0,Not mature,Ballantine Books,1992,115,Audiobook,Yes ,Europe
The Secret of Secrets: The Secret of the Golden Flower,Osho,English,Juvenile Fiction,3.0,Not mature,Greenwood ,2012,128,Audiobook,Yes ,Europe
